CUSTOMER_ID,CUSTOMER_NAME,POSTAL_CODE,STATE,CITY,ADDRESS_LINE1,ADDRESS_LINE2,AGE,EMPLOYMENT_STATUS,SOCIAL_CLASS,RISK_SEGMENTATION,MARITAL_STATUS,POLICY_NUMBER
A00004112,Elbert Felix,72701,AR,Fayetteville,780 South Wilmington Avenue,#107,57,Y,HI,L,Y,PLC00003274
A00004865,Ronald Shaver,36105,AL,Montgomery,4339 Oak Street,,43,N,LI,L,Y,PLC00007448
A00002422,Lauren Loftin,37076,TN,Nashville,1536 Rachaels Ridge,,58,Y,HI,M,N,PLC00005607
A00003691,Mildred Whitten,85301,AZ,Glendale,6225 West Citrus Way,,25,Y,MI,M,N,PLC00009902
A00006915,Alyssa Bowen,21061,MD,Glen Burnie,57 Bremer Drive,,41,Y,LI,L,N,PLC00008459
A00009130,James Hendrickson,20001,DC,Washington,1010 M Street Northwest,,33,Y,LI,M,Y,PLC00009575
A00001581,Brent Lusk,2445,MA,Brookline,33 Pond Avenue,#804,64,Y,LI,L,N,PLC00002330
A00007890,Charles Johnson,94702,CA,Berkeley,2708 Mabel Street,M,26,Y,LI,L,N,PLC00005354
A00003536,Gloria Davis,80007,CO,Arvada,8642 Yule Street,,30,Y,MI,M,Y,PLC00003499
A00008207,Irene Metcalf,32405,FL,Panama City,105 Ridgecrest Court,,57,Y,MI,L,Y,PLC00008260
A00003348,Patsy Cantu,94541,CA,Hayward,450 C Street,,30,Y,MI,M,Y,PLC00009265
A00000014,Louis Yang,40223,KY,Louisville,10723 Colonial Woods Court,,26,Y,HI,L,Y,PLC00005626
A00006283,Albert Wilkie,1201,MA,Pittsfield,25 Church Street,A,62,Y,MI,H,Y,PLC00008977
A00003499,Paula Davis,20007,DC,Washington,3138 P Street Northwest,,55,Y,LI,L,N,PLC00000212
A00008902,Dorothy James,5753,VT,Middlebury,161 Creek Road,,62,Y,HI,H,Y,PLC00006704
A00002740,Wayne Landrum,6042,CT,Manchester,123 Elizabeth Drive,,57,Y,HI,L,Y,PLC00003271
A00009289,Edward Igtanloc,34465,FL,Beverly Hills,5038 North Cimarron Drive,,32,Y,MI,L,N,PLC00005560
A00007672,Cheryl Silva,36107,AL,Montgomery,1163 Rosedale Drive,,39,N,MI,L,Y,PLC00006003
A00000956,Mary Cotton,85306,AZ,Glendale,5205 West Thunderbird Road,#1042,51,Y,MI,M,Y,PLC00009442
A00000134,Harold Garcia,94551,CA,Livermore,1004 Bellflower Street,,31,Y,MI,L,N,PLC00002112
A00006528,Tori Mcbride,5851,VT,Wheelock,2868 Peak Road,,31,Y,LI,L,Y,PLC00006887
A00008607,Bertha Roseman,40272,KY,Louisville,9912 Shirewick Way,,56,Y,HI,M,N,PLC00003012
A00004589,Travis Louis,85308,AZ,Glendale,6988 West Blackhawk Drive,,51,Y,MI,M,N,PLC00003093
A00002074,Marion Dollyhigh,40243,KY,Louisville,200 Edgewood Way,,49,N,MI,H,Y,PLC00003805
A00000481,Thomas Lancon,5445,VT,Charlotte,31 Hills Point Road,,64,Y,LI,L,Y,PLC00001551
A00009041,Wanda Ellison,73170,OK,Oklahoma City,812 Southwest 151st Street,,43,Y,MI,L,N,PLC00009146
A00000859,Donald Meehan,73162,OK,Oklahoma City,10001 Pheasant Lane,,41,N,MI,L,Y,PLC00008827
A00000583,Phillip Walker,36117,AL,Montgomery,7030 Cotton Blossom Lane,,46,Y,MI,M,Y,PLC00005283
A00004719,Claire Carter,5149,VT,,68 Route 66,,64,Y,HI,L,Y,PLC00002737
A00002089,Antony Ender,21032,MD,Crownsville,1418 Paddocks Court,,47,Y,MI,H,N,PLC00009114
A00004245,John Tilley,72701,AR,Fayetteville,333 Saint Charles Avenue,#B2,36,Y,LI,L,N,PLC00001839
A00009116,John Flores,5855,VT,Newport,589 East Main Street,,48,Y,MI,L,Y,PLC00007965
A00003178,Edward Laderman,31405,GA,Savannah,702 East 53rd Street,,56,Y,LI,L,Y,PLC00003361
A00005466,Margaret Bolen,36108,AL,Montgomery,4316 Sunnybrook Drive,,32,Y,MI,L,Y,PLC00000652
A00007369,Calvin Eichelberger,20001,DC,Washington,1001 6th Street Northwest,,42,Y,MI,H,Y,PLC00001585
A00002702,Arthur Mitchell,32408,FL,Panama City,4113 Holiday Drive,,53,N,HI,L,Y,PLC00003400
A00006128,Debra Oliphant,37013,TN,Nashville,819 Beazer Lane,,40,Y,HI,L,N,PLC00000459
A00001291,Mariann Hill,94536,CA,Fremont,4770 Balboa Way,,39,Y,MI,M,Y,PLC00004134
A00000261,Michael Beltrami,5860,VT,Westmore,210 Lacross Lane,,28,Y,MI,M,Y,PLC00006979
A00008288,Marion Coffey,21122,MD,Pasadena,8376 Albacore Drive,,37,Y,HI,L,N,PLC00000241
A00009904,Denise Blake,40207,KY,Louisville,188 Saint Matthews Avenue,#1,53,Y,MI,M,Y,PLC00004191
A00007027,William Martin,37208,TN,Nashville,2707 Eden Street,,36,N,MI,L,Y,PLC00008450
A00003818,Jacqueline Simpson,73135,OK,Oklahoma City,6120 Southeast 84th Street,,47,Y,MI,M,N,PLC00008734
A00005168,James Thurgood,21061,MD,Glen Burnie,706 James Road,,33,Y,MI,M,Y,PLC00000010
A00007705,Mathew Sims,31404,GA,Savannah,88 Pine Valley Road,,56,Y,MI,L,N,PLC00009039
A00000877,Jeremy Riccio,72704,AR,Fayetteville,1823 North Munchkin Lane,,52,Y,LI,L,Y,PLC00008900
A00006847,Susan Petersen,80005,CO,Arvada,7564 Moore Court,,60,Y,LI,M,Y,PLC00009501
A00005205,Anthony Girard,37209,TN,Nashville,122 40th Avenue North,,60,Y,MI,L,Y,PLC00009466
A00009078,Eileen Svoboda,31405,GA,Savannah,201 Lee Boulevard,,50,Y,HI,H,Y,PLC00001505
A00000804,William Zeigler,37212,TN,Nashville,1907 18th Avenue South,,32,Y,MI,H,Y,PLC00006719
A00004234,James Hodges,95824,CA,Sacramento,6244 Sun River Drive,,42,Y,HI,M,N,PLC00005127
A00002003,Carlos Montello,2474,MA,Arlington,11 Adams Street,,33,Y,MI,L,Y,PLC00004274
A00000193,Gary Enciso,80004,CO,Arvada,6029 Wright Street,,63,N,HI,M,N,PLC00000742
A00009864,Melva Ramirez,73013,OK,Edmond,1601 East 19th Street,,36,Y,MI,M,Y,PLC00003666
A00003565,Richard Lavalle,6042,CT,Manchester,25 Cliffside Drive,D,36,Y,MI,L,Y,PLC00003125
A00006009,Marion Talley,21076,MD,Hanover,1742 Allerford Drive,,35,Y,MI,L,Y,PLC00000069
A00000670,Diane Givens,37207,TN,Nashville,529 Wesley Avenue,,44,Y,MI,L,N,PLC00003987
A00002691,Jimmie Herbert,72703,AR,Fayetteville,1109 East Glenn Lane,,50,Y,HI,L,Y,PLC00000988
A00007463,James Miles,37207,TN,Nashville,2505 Walker Lane,,34,Y,HI,L,Y,PLC00005994
A00007262,Monica Threlkeld,32405,FL,Panama City,1518 Jenks Avenue,,25,Y,MI,M,Y,PLC00009746
A00009910,Tasha Bolds,80004,CO,Arvada,7095 Gladiola Street,,61,Y,MI,L,Y,PLC00005185
A00005802,Joseph Walt,94611,CA,Oakland,4329 Howe Street,,63,Y,LI,L,N,PLC00001608
A00006267,Kate Tito,85304,AZ,Glendale,6228 West Larkspur Drive,,26,Y,MI,L,N,PLC00000932
A00002978,Mary Todd,6040,CT,Manchester,32 Prospect Street,#32,45,Y,MI,L,N,PLC00006683
A00009572,Vivian Kiesel,40222,KY,Louisville,120 North Hurstbourne Parkway,#622,28,Y,MI,L,Y,PLC00006462
A00007477,Anthony Carpenter,5873,VT,Danville,178 Old Homestead Road,,60,Y,HI,H,Y,PLC00008821
A00009513,Catherine Wells,73112,OK,Oklahoma City,4132 Northwest 57th Street,,47,Y,HI,L,Y,PLC00001274
A00009706,Mariana Waller,36117,AL,Montgomery,2269 Eastern Boulevard,,55,Y,HI,M,Y,PLC00004892
A00006240,Brent Fly,20003,DC,Washington,1710 Massachusetts Avenue Southeast,,55,Y,HI,L,N,PLC00007252
A00000327,Christopher Lee,20011,DC,Washington,4822 Piney Branch Road Northwest,,35,Y,LI,M,Y,PLC00000801
A00000762,Donna Delosh,37218,TN,Nashville,4463 Cato Road,,45,Y,MI,M,Y,PLC00000840
A00008559,Alice Murphy,85302,AZ,Glendale,6201 West Olive Avenue,#3172,49,Y,MI,M,N,PLC00009832
A00007283,Chester Castleberry,99518,AK,Anchorage,5630 Silverado Way,#STE A8,60,Y,LI,H,Y,PLC00001227
A00007243,Mary Cloud,31401,GA,Savannah,713 East 32nd Street,,37,Y,HI,M,N,PLC00001199
A00007330,Bernice Santomauro,99515,AK,Anchorage,410 West 89th Avenue,,50,N,MI,L,Y,PLC00009936
A00009946,William Wilson,32404,FL,Panama City,7758 Betty Louise Drive,,39,N,MI,M,N,PLC00002086
A00005849,Kara Williams,20002,DC,Washington,1010 10th Street Northeast,,42,Y,MI,L,Y,PLC00009821
A00008151,Kenneth Hill,1420,MA,Fitchburg,97 Lincoln Street,,61,Y,LI,H,N,PLC00008510
A00004744,Nathaniel Graham,21403,MD,Annapolis,721 Bay Ridge Avenue,,47,Y,MI,L,N,PLC00004764
A00007865,Gary Patten,36117,AL,Montgomery,8513 Pipit Court,,47,Y,LI,M,Y,PLC00005716
A00007480,Martin Tommolino,72701,AR,Fayetteville,2130 Loren Circle,,40,N,LI,L,Y,PLC00004335
A00001988,Michelle Thomas,20003,DC,Washington,1426 C Street Southeast,,64,Y,LI,M,Y,PLC00009445
A00005653,Fannie Williams,95501,CA,Eureka,954 Dowler Drive,,51,Y,LI,M,Y,PLC00009597
A00007305,Sean Billotte,31404,GA,Savannah,1939 Greenwood Street,,60,Y,HI,M,N,PLC00000246
A00001480,Ida Nam,31322,GA,Pooler,130 Carolina Cherry Circle,,57,Y,HI,L,Y,PLC00005653
A00004702,Sarah Toms,6042,CT,Manchester,23 Columbia Drive,,62,N,HI,L,N,PLC00008292
A00001148,Jorge Anderson,40207,KY,Louisville,4331 Foeburn Lane,,47,Y,HI,L,Y,PLC00001545
A00002262,Jorge Silva,37209,TN,Nashville,122 40th Avenue North,,32,Y,LI,M,N,PLC00009583
A00003291,Andrea Silver,6042,CT,Manchester,65 Arcellia Drive,,33,Y,MI,L,Y,PLC00002578
A00008706,Jacinta Suiter,94579,CA,San Leandro,1352 Purdue Street,,49,Y,LI,M,Y,PLC00009641
A00004966,Mary Hartman,5641,VT,Barre,8 Richardson Road,,57,Y,HI,L,Y,PLC00009191
A00001137,Nan Mottet,92373,CA,Redlands,129 Grant Street,,26,Y,MI,L,Y,PLC00002557
A00000013,Vivian Wallace,80004,CO,Arvada,6021 Yarrow Street,#A1,45,Y,LI,L,Y,PLC00009110
A00000875,Jonathan Hurley,73114,OK,Oklahoma City,1311 Northwest 98th Street,,37,Y,LI,M,Y,PLC00000808
A00001718,Victoria Learn,80011,CO,Aurora,1613 Ensenada Way,,42,Y,HI,M,N,PLC00002342
A00002165,Michael Macklin,99611,AK,Kenai,36528 Short Circle,,54,Y,MI,M,N,PLC00002564
A00003051,Joe Capps,20003,DC,Washington,760 11th Street Southeast,,29,Y,MI,M,Y,PLC00004192
A00009892,Francine Scott,1301,MA,Greenfield,42 Adams Road,#45,25,Y,LI,L,Y,PLC00003171
A00004106,Brian Morison,40213,KY,Louisville,1026 Orchard Avenue,,56,Y,HI,H,N,PLC00000497
A00005034,Steve Painter,36117,AL,Montgomery,5600 Carmichael Road,,57,Y,LI,M,Y,PLC00005273
A00008198,John Tefft,85308,AZ,Glendale,5815 West Del Lago Circle,,41,Y,LI,L,Y,PLC00000862
A00000548,Laura Nelson,33579,FL,Riverview,10802 Brickside Court,,64,Y,HI,L,Y,PLC00001327
A00006478,Daniel Keiss,37207,TN,Nashville,1215 Joseph Avenue,,35,Y,MI,L,Y,PLC00006625
A00000815,Everett Smudrick,85306,AZ,Glendale,5837 West Evans Drive,,31,Y,HI,H,Y,PLC00001203
A00004559,Jane Bell,80003,CO,Arvada,7090 West 64th Avenue,,30,Y,MI,L,Y,PLC00002010
A00002441,Orpha Mcclellan,36116,AL,Montgomery,3100 Gentilly Court,,41,Y,LI,L,Y,PLC00008019
A00005228,Ida Holder,40222,KY,Northfield,2347 Glen Eagle Drive,,28,Y,LI,M,Y,PLC00006756
A00008944,Charles Turman,72701,AR,Fayetteville,831 West Center Street,#224,28,Y,LI,M,N,PLC00006934
A00005880,Tony Crawley,36108,AL,Montgomery,3808 South Smiley Circle,,62,Y,HI,H,N,PLC00003036
A00002413,William Baez,72701,AR,Fayetteville,606 National Street,#306,39,Y,MI,L,Y,PLC00000244
A00001701,David Toney,5301,VT,Guilford,81 Buck Hill Road,,26,N,LI,H,Y,PLC00008394
A00000834,Sophia Meier,6040,CT,Manchester,91 Rushforde Drive,,54,Y,MI,L,Y,PLC00006142
A00002597,Rodney Miller,21114,MD,Crofton,2068 Happy Lane,,39,Y,MI,M,Y,PLC00000553
A00007505,Gary Frey,99577,AK,Anchorage,25721 Berryhill Road,,31,Y,LI,L,N,PLC00005897
A00004164,Julius Cooks,31322,GA,Pooler,4 Chamois Court,,60,Y,HI,M,Y,PLC00001559
A00005342,Judy Solian,80003,CO,Arvada,5073 West 65th Place,,44,Y,MI,M,Y,PLC00007717
A00009809,Alice Weigel,21144,MD,Severn,615 Sand Road,,55,Y,HI,L,N,PLC00005190
A00002956,Laverne Gross,37013,TN,Nashville,115 Colemont Court,,42,Y,MI,L,Y,PLC00006235
A00004012,Albert Dixon,1420,MA,Fitchburg,97 Lincoln Street,,62,Y,MI,M,Y,PLC00009625
A00000949,Jeffrey James,72704,AR,Fayetteville,1649 Timberridge Court,,64,Y,MI,M,Y,PLC00006503
A00001650,Kathlene Mcnamara,94043,CA,Mountain View,369 Ruth Avenue,,43,Y,LI,L,N,PLC00005199
A00005704,Von Wolfe,6042,CT,Manchester,233 Buckland Hills Drive,,34,Y,LI,M,N,PLC00006988
A00002776,Michael Neff,32413,FL,Panama City Beach,17109 Guava Avenue,,54,Y,MI,M,Y,PLC00004168
A00002079,Tosha Thompson,32405,FL,Panama City,2527 Lisenby Avenue,,41,Y,HI,M,N,PLC00006133
A00005318,Catherine Sisco,32404,FL,Panama City,800 West Street,,32,Y,LI,M,Y,PLC00008962
A00007732,Amber Cobb,40207,KY,Louisville,3704 Hughes Road,,47,Y,MI,M,Y,PLC00007387
A00004626,Jon Nobles,72701,AR,Fayetteville,1233 Paradise Lane,,26,Y,MI,L,Y,PLC00004508
A00000211,Bill Kwok,94536,CA,Fremont,4444 Hansen Avenue,#APT 224,49,Y,LI,L,Y,PLC00001741
A00007341,Deanna Humiston,94619,CA,Oakland,439 Crestmont Drive,,27,Y,LI,M,Y,PLC00009169
A00008591,Lance Kher,73160,OK,Moore,1817 Southeast 14th Street,,42,Y,MI,L,Y,PLC00005815
A00008052,Linda Thruman,85301,AZ,Glendale,6225 West Citrus Way,,28,Y,LI,M,Y,PLC00005527
A00008942,Mike Robert,1757,MA,Milford,228 Central Street,,35,Y,HI,L,Y,PLC00005088
A00003149,Keith Martel,80007,CO,Arvada,17020 West 64th Drive,,60,Y,HI,L,Y,PLC00005923
A00005805,Joe Introini,21226,MD,,7529 Perryman Court,,31,Y,HI,L,Y,PLC00007092
A00009530,Calvin Howell,72703,AR,Fayetteville,3425 North Futrall Drive,,54,Y,MI,H,Y,PLC00009483
A00006830,Lillian Decker,72704,AR,Fayetteville,5514 West Wedington Drive,#3,26,Y,MI,L,Y,PLC00001828
A00007160,Roxann Waters,80003,CO,Arvada,6073 Harlan Street,,61,Y,HI,L,Y,PLC00002887
A00001553,Perry Wright,2474,MA,Arlington,11 Adams Street,,64,Y,MI,H,N,PLC00007224
A00001756,Florence Merritt,36117,AL,Montgomery,5701 East Shirley Lane,,35,Y,HI,L,N,PLC00004862
A00002923,Ann Knight,73112,OK,Oklahoma City,4408 Northwest 55th Street,,62,Y,LI,M,N,PLC00003346
A00009221,Jason Marshall,2171,MA,Quincy,165 Quincy Shore Drive,#C27,60,Y,LI,H,N,PLC00006984
A00003698,Ronald Porter,21225,MD,Brooklyn Park,5900 Upland Road,,49,Y,MI,L,Y,PLC00002245
A00000190,Gregory Drees,37209,TN,Nashville,240 54th Avenue North,,31,Y,LI,L,Y,PLC00005198
A00002764,Tony Hunter,31405,GA,Savannah,127 Andover Drive,,36,Y,MI,M,Y,PLC00001151
A00009590,Edward Ruvalcaba,20011,DC,Washington,421 Madison Street Northeast,,62,Y,MI,M,Y,PLC00008527
A00006417,Lloyd Roberts,31404,GA,Savannah,88 Pine Valley Road,,40,Y,HI,L,Y,PLC00002727
A00001503,Warren Frink,73129,OK,Oklahoma City,301 Southeast 37th Street,,51,Y,LI,L,Y,PLC00002689
A00003922,Robert Lawrence,5733,VT,,8 Corona Street,,50,Y,MI,M,Y,PLC00003892
A00006105,Cheryl Denny,32444,FL,Lynn Haven,301 Willow Way,,30,Y,LI,L,Y,PLC00002434
A00003613,Walter Thibodeaux,72703,AR,Fayetteville,5529 East Saddleridge Drive,,52,Y,MI,H,N,PLC00007162
A00002426,Patricia Benjamin,94591,CA,Vallejo,637 Britannia Drive,,44,Y,HI,M,Y,PLC00002044
A00006998,Robert Mcneil,5837,VT,East Haven,536 Walters Farm Road,,58,Y,HI,H,N,PLC00000273
A00000105,James Sicard,21122,MD,Pasadena,1211 Castine Court,,33,Y,LI,M,Y,PLC00007991
A00001637,Elizabeth Rodriguez,2139,MA,Cambridge,594 Putnam Avenue,#2,45,N,LI,M,Y,PLC00001525
A00009848,Mary Lopez,6042,CT,Manchester,23 Columbia Drive,,60,N,HI,H,Y,PLC00002656
A00009288,Lexie Kirley,95692,CA,Wheatland,314 Mesa Street,,27,Y,MI,M,Y,PLC00000917
A00000247,Robert Gonzalez,32409,FL,Panama City,7809 Highway 2302,,27,Y,LI,L,Y,PLC00002074
A00002397,Mark Jones,40299,KY,Jeffersontown,10819 Bluegrass Parkway,,60,Y,MI,L,N,PLC00002699
A00007490,Angelo Belcher,21108,MD,Millersville,8262 Elvaton Road,,60,Y,MI,M,Y,PLC00004993
A00003706,Jerry Flesher,80005,CO,Arvada,8446 Coors Loop,,52,Y,HI,L,N,PLC00009388
A00004550,Christine Berryman,20015,DC,Washington,3373 Runnymede Place Northwest,,31,Y,HI,L,N,PLC00009703
A00003203,Benjamin Peterson,31407,GA,Port Wentworth,3 Hawser Way,,55,Y,MI,L,Y,PLC00005113
A00009674,Jeanette Craig,5495,VT,Williston,220 Avenue B,,47,Y,MI,M,Y,PLC00008261
A00003347,Megan Finney,40223,KY,Louisville,10723 Colonial Woods Court,,33,Y,LI,L,Y,PLC00003037
A00006280,Michelle Taylor,93311,CA,Bakersfield,10826 Pointe Royal Drive,,43,Y,MI,L,Y,PLC00008187
A00009398,James Pollitt,5743,VT,Fair Haven,10 South Main Street,,32,Y,MI,L,N,PLC00006530
A00009338,Raymond Kiffer,21061,MD,Glen Burnie,309 Glenwood Avenue,,47,Y,LI,M,Y,PLC00002851
A00007501,Roger Lambert,85304,AZ,Glendale,10654 North 60th Avenue,#2019,61,Y,MI,M,Y,PLC00006144
A00007905,Jessica Dawkins,33573,FL,Sun City Center,1122 McDaniel Street,,29,Y,MI,H,N,PLC00003594
A00008439,Mary Bentz,5482,VT,Shelburne,12 Fletcher Lane,,60,Y,HI,M,Y,PLC00008346
A00007899,Susan Ridgeway,40245,KY,Louisville,15510 Champion Lakes Place,,61,Y,LI,L,Y,PLC00009038
A00006248,James House,21060,MD,Glen Burnie,7105 Tanager Avenue,,56,Y,MI,H,Y,PLC00000068
A00000192,Mac Offerdahl,80004,CO,Arvada,5856 Parfet Court,,57,Y,HI,H,Y,PLC00009775
A00002575,Brenda Eddins,80004,CO,Arvada,11933 West 71st Avenue,,51,Y,MI,M,Y,PLC00001002
A00004102,Annie Stumpf,21061,MD,Glen Burnie,21 Glenoak Lane Northwest,B,62,Y,MI,H,N,PLC00006571
A00007873,Susan Lewis,94538,CA,Fremont,39247 Sundale Drive,,40,Y,LI,H,Y,PLC00007886
A00004611,Daniel Conklin,94709,CA,Berkeley,1820 Scenic Avenue,,38,Y,HI,M,Y,PLC00009788
A00006492,Joseph Dinkel,99501,AK,Anchorage,903 East 20th Avenue,,27,Y,HI,L,Y,PLC00000413
A00003531,Elizabeth Perry,99502,AK,Anchorage,2849 Leawood Drive,,27,N,LI,L,Y,PLC00008666
A00000149,Gail Mauldin,6040,CT,Manchester,165 Saint John Street,,63,Y,MI,H,N,PLC00007673
A00005638,Betty Bowman,94541,CA,Hayward,450 C Street,,56,Y,LI,M,Y,PLC00001314
A00006076,Joseph Armstrong,85308,AZ,Glendale,21007 North 53rd Avenue,,53,Y,MI,L,Y,PLC00005951
A00009990,Richard Herrera,94709,CA,Berkeley,1643 Oxford Street,R C,41,Y,LI,M,N,PLC00006419
A00002513,Garry Rushing,72764,AR,Fayetteville,3652 East Blue Stone Drive,,41,Y,HI,L,Y,PLC00008115
A00009734,Eric Hutchinson,80003,CO,Arvada,6140 Fenton Street,,35,Y,HI,L,Y,PLC00002346
A00005658,Stuart Menist,72701,AR,Fayetteville,505 North Washington Avenue,,59,Y,HI,M,Y,PLC00005739
A00006794,Gloria Knutson,5488,VT,Swanton,3 Furman Place,,62,Y,LI,H,Y,PLC00000087
A00001870,Rhonda Diemer,31419,GA,Savannah,926 Mill Court,,53,Y,MI,L,Y,PLC00005359
A00009682,Linda Hearn,5345,VT,Newfane,578 Vermont 30,,30,Y,MI,H,Y,PLC00004505
A00009547,Mae Lowery,37205,TN,Nashville,733 Georgetown Drive,,42,Y,HI,M,N,PLC00001191
A00004091,Chester Barnard,31410,GA,Savannah,7024 Johnny Mercer Boulevard,,25,Y,LI,H,Y,PLC00008492
A00004782,Chris Hosley,5201,VT,Woodford,210 Depot Street,,58,Y,HI,H,Y,PLC00005251
A00005061,John Ho,5001,VT,Hartford,5036 Jericho Street,,47,Y,HI,M,Y,PLC00009885
A00000704,Peter Jones,6040,CT,Manchester,125 Summer Street,,46,Y,MI,L,Y,PLC00002509
A00007999,Ronald Stcharles,31404,GA,Savannah,2200 East Victory Drive,#36,50,Y,MI,H,Y,PLC00007264
A00009037,Buddy Hinkle,5048,VT,Hartland,653 Vermont 12,,50,Y,MI,M,Y,PLC00001490
A00004253,Celestine Woods,85340,AZ,Litchfield Park,7802 North Alsup Road,,29,Y,MI,L,Y,PLC00000968
A00007386,Jennifer Zimmerman,32456,FL,Mexico Beach,111 20th Street,,32,Y,LI,H,Y,PLC00009204
A00003800,Thomas Hickson,72704,AR,Fayetteville,1261 Steamboat Drive,#3,50,Y,MI,H,Y,PLC00009464
A00008730,Mildred Stone,36109,AL,Montgomery,535 Saddlewood Lane,,41,Y,MI,M,Y,PLC00001068
A00006834,Bryan Barbour,20011,DC,Washington,5302 1st Street Northwest,,62,N,LI,M,Y,PLC00006904
A00003354,Andree Williams,21114,MD,Crofton,2068 Happy Lane,,43,Y,MI,L,Y,PLC00003394
A00009382,Anita Granado,73003,OK,Edmond,809 Blue Ridge Drive,,32,Y,LI,M,Y,PLC00008203
A00003257,Marie Collins,5401,VT,Burlington,190 Church Street,,31,Y,MI,H,Y,PLC00006188
A00000848,Hazel Ferris,99504,AK,Anchorage,1254 Muldoon Road,,50,Y,MI,L,N,PLC00001622
A00008547,Randi Dinsmoor,73120,OK,Oklahoma City,2316 Northwest 113th Street,,45,Y,HI,M,N,PLC00007452
A00001399,Darrel Ralph,6042,CT,Manchester,25 Cliffside Drive,D,37,Y,MI,L,N,PLC00006739
A00007605,Walter Daughtry,99577,AK,Anchorage,17433 Teklanika Drive,,36,Y,MI,H,N,PLC00008431
A00007591,Robert Sim,73119,OK,Oklahoma City,3104 Southwest 46th Street,,60,Y,LI,H,Y,PLC00000219
A00000787,Kevin Haggerty,72703,AR,Fayetteville,1838 North Scull Creek Drive,,28,Y,MI,M,N,PLC00003712
A00000912,Thomas Lelacheur,99507,AK,Anchorage,11160 Vosikof Place,,46,Y,MI,L,Y,PLC00002832
A00007889,Alisha Peterson,80002,CO,Arvada,9903 West 53rd Place,,61,Y,MI,L,N,PLC00003833
A00005063,Julie Moore,95014,CA,Cupertino,22207 Quinterno Court,,36,Y,MI,M,Y,PLC00009179
A00009842,Jason Cearns,40272,KY,Louisville,10124 Watsonville Road,,43,N,MI,M,N,PLC00006757
A00001073,Jeffrey Arnold,99507,AK,Anchorage,10332 Thuja Circle,,28,Y,HI,L,Y,PLC00005825
